nombre_grafo;m;mejor_valor;optimo;diferencia;porcentaje_explorado;dim_pobl;num_gen
Buxey;7;50;47;6.382978723404255;19.22115865144351;300;1000
Buxey;8;41;41;0.0;6.989512236888548;300;1000
Buxey;9;39;37;5.405405405405405;2.995505244380807;300;1000
Buxey;10;34;34;0.0;1.4977526221904034;300;1000
Buxey;11;33;32;3.125;0.867119939162865;300;1000
Buxey;12;31;28;10.714285714285714;0.57807995944191;300;1000
Buxey;13;28;27;3.7037037037037037;0.44206114545557823;300;1000
Buxey;14;26;25;4.0;0.386803502273631;300;1000
Gunther;6;84;84;0.0;18.482466300303113;300;1000
Gunther;7;73;72;1.3888888888888888;4.461284969038682;300;1000
Gunther;8;64;63;1.5873015873015872;1.2746528482967665;300;1000
Gunther;9;59;54;9.25925925925926;0.4248842827655888;300;1000
Gunther;10;52;50;4.0;0.16341703183291875;300;1000
Gunther;11;50;48;4.166666666666667;0.07190349400648426;300;1000
Gunther;12;46;44;4.545454545454546;0.03595174700324213;300;1000
Gunther;13;42;42;0.0;0.02032055265400642;300;1000
Gunther;14;42;40;5.0;0.012931260779822266;300;1000
Gunther;15;42;40;5.0;0.00923661484273019;300;1000
Lutz1;8;1860;1860;0.0;2.8521719289238754;300;1000
Lutz1;9;1696;1638;3.5409035409035408;1.0695644733464533;300;1000
Lutz1;10;1606;1526;5.242463958060289;0.4650280318897623;300;1000
Lutz1;11;1472;1400;5.142857142857143;0.23251401594488116;300;1000
Lutz1;12;1400;1400;0.0;0.13286515196850351;300;1000
Lutz2;9;55;54;1.8518518518518519;4.719747113400623e-05;300;1000
Lutz2;10;51;49;4.081632653061225;5.899683891750778e-06;300;1000
Lutz2;11;48;45;6.666666666666667;8.214749722690957e-07;300;1000
Lutz2;12;45;41;9.75609756097561;1.2638076496447628e-07;300;1000
Lutz2;13;40;38;5.2631578947368425;2.133701226672976e-08;300;1000
Lutz2;14;40;35;14.285714285714286;3.930502259660746e-09;300;1000
Lutz2;15;37;33;12.121212121212121;7.861004519321491e-10;300;1000
Lutz2;16;-1;31;;1.6996766528262683e-10;300;1000
Lutz2;17;35;29;20.689655172413794;3.9581511093214467e-11;300;1000
Lutz2;18;32;28;14.285714285714286;9.895377773303617e-12;300;1000
Lutz2;19;30;26;15.384615384615385;2.6480588407432214e-12;300;1000
Lutz2;20;-1;25;;7.56588240212349e-13;300;1000
